PARTICIPANT_ID,AGE,HAS_TAKEN_TYPING_COURSE,COUNTRY,LAYOUT,NATIVE_LANGUAGE,FINGERS,KEYBOARD_TYPE,ERROR_RATE,AVG_WPM_15,ROR
790,19,1,GB,qwerty,en,9-10,laptop,0.582847626977519,59.8637,0.1332
795,23,1,IN,qwerty,en,7-8,laptop,0.258175559380379,31.5856,0.1579
799,21,1,US,qwerty,en,9-10,laptop,0.458015267175573,79.7747,0.5898
800,21,0,IN,qwerty,te,1-2,laptop,2.46913580246914,29.6277,0.0349
803,25,0,IN,qwerty,en,5-6,full,0.454086781029263,37.485,0.0367
811,19,0,GB,qwerty,en,7-8,full,0.195694716242661,77.6085,0.2061
813,18,1,IN,qwerty,en,3-4,laptop,2.28758169934641,19.6059,0.1004
818,20,1,IN,qwerty,en,9-10,full,0.854700854700855,60.5284,0.4782
820,26,0,US,qwerty,en,9-10,full,0.750897812602024,69.1041,0.3561
821,30,0,US,qwerty,en,9-10,laptop,0.305810397553517,43.0216,0.0663
825,23,0,IN,qwerty,en,3-4,full,0.324149108589951,33.2797,0.0606
826,22,1,PH,qwerty,en,7-8,full,0.766871165644172,27.0874,0.1611
828,46,1,PH,qwerty,tl,9-10,full,0.243072435585805,26.329,0.0798
832,23,0,NZ,qwerty,en,9-10,laptop,0.462962962962963,46.3824,0.3103
833,25,0,US,qwerty,en,1-2,laptop,1.32978723404255,32.9146,0.1049
835,28,1,US,qwerty,en,9-10,laptop,0.605143721633888,69.853,0.3137
836,30,0,US,qwerty,en,3-4,laptop,0.904392764857881,26.7169,0.069
838,14,0,RO,qwerty,ro,3-4,laptop,1.61030595813205,30.3126,0.0692
840,30,0,NO,qwerty,no,7-8,full,1.00430416068867,63.7412,0.0552
843,36,0,PH,qwerty,en,3-4,on-screen,0.569063631660631,52.1374,0.2089
845,27,0,IN,qwerty,mr,7-8,full,0.608766233766234,34.3456,0.3023
846,22,0,CA,qwerty,en,3-4,full,1.8348623853211,63.3618,0.2797
851,20,1,PH,qwerty,tl,9-10,full,0.324149108589951,28.4544,0.1413
862,25,0,SY,qwerty,ar,5-6,laptop,3.67278797996661,19.6447,0.0702
866,26,0,IN,qwerty,en,3-4,laptop,1.92,25.497,0.0782
870,29,0,IN,qwerty,mr,9-10,laptop,2.94599018003273,75.3048,0.4381
874,21,0,IN,qwerty,en,9-10,full,0.32258064516129,23.3598,0.0454
875,20,0,PH,qwerty,en,9-10,laptop,2.99145299145299,34.2174,0.1988
877,28,0,AE,qwerty,en,7-8,full,1.1070110701107,39.4276,0.1643
882,30,1,IN,qwerty,en,9-10,laptop,3.13695485845448,16.2625,0.0143
885,13,0,AU,qwerty,vi,1-2,laptop,0.924499229583975,42.5584,0.0466
886,29,1,IN,qwerty,ta,9-10,on-screen,0.414364640883978,29.6739,0.0704
887,27,0,IN,qwerty,hi,7-8,laptop,0.157232704402516,29.6625,0.1223
888,23,0,TW,qwerty,ta,3-4,laptop,0.645161290322581,29.0015,0.0536
889,24,0,US,qwerty,en,5-6,full,0.76103500761035,47.7706,0.3039
891,21,0,AU,qwerty,en,3-4,laptop,0.686106346483705,40.5768,0.0629
895,38,1,AU,qwerty,en,9-10,full,2.47524752475248,48.0665,0.1901
896,22,1,BD,qwerty,bn,9-10,laptop,0.0,73.2074,0.438
897,29,1,AU,qwerty,en,9-10,laptop,0.0,103.7704,0.7281
898,30,0,IN,qwerty,hi,1-2,laptop,0.599315068493151,36.734,0.0628
899,25,0,IN,qwerty,ta,7-8,laptop,1.54083204930663,37.3868,0.0606
901,11,0,VN,qwerty,en,5-6,full,0.324675324675325,23.4708,0.0402
907,22,0,PH,qwerty,en,5-6,laptop,0.250417362270451,29.5507,0.0515
912,10,0,US,qwerty,en,3-4,full,0.75187969924812,17.6612,0.0649
913,29,0,PH,qwerty,tl,9-10,full,0.371352785145889,76.4923,0.4059
915,22,0,IN,qwerty,en,5-6,full,0.744047619047619,39.7276,0.0242
917,24,0,IN,qwerty,en,9-10,full,1.81818181818182,27.6688,0.0432
918,22,0,IN,qwerty,hi,3-4,laptop,2.39880059970015,18.1383,0.0902
924,20,0,SK,qwerty,hu,9-10,laptop,0.531914893617021,54.5979,0.1555
926,25,0,IN,qwerty,en,9-10,laptop,0.15527950310559,39.3066,0.2631
927,21,0,PH,qwerty,en,1-2,laptop,4.54545454545455,27.8373,0.0156
932,13,0,AU,qwerty,vi,1-2,laptop,0.494233937397035,42.5619,0.0522
933,45,1,US,qwerty,en,9-10,full,0.423728813559322,56.4618,0.3078
938,24,1,PH,qwerty,en,9-10,laptop,1.24223602484472,40.1277,0.1261
943,25,1,IN,qwerty,en,1-2,laptop,1.92307692307692,44.1325,0.229
946,26,0,IN,qwerty,en,3-4,laptop,1.04399701715138,26.6805,0.1024
950,21,0,IN,qwerty,kn,3-4,full,0.738552437223043,19.7531,0.0331
952,24,0,US,qwerty,en,1-2,laptop,4.79233226837061,26.8277,0.0153
953,23,0,IN,qwerty,ta,5-6,full,3.79965457685665,29.0952,0.0433
954,26,0,IN,qwerty,en,7-8,laptop,0.222222222222222,42.0869,0.2326
956,45,1,US,qwerty,en,9-10,laptop,0.160944206008584,57.6537,0.2623
957,22,0,ID,qwerty,id,5-6,laptop,6.42504118616145,45.9215,0.1285
959,99,0,US,qwerty,en,1-2,laptop,0.801282051282051,25.6791,0.0816
970,22,0,IN,qwerty,hi,5-6,laptop,4.01234567901235,18.4301,0.1168
977,21,0,PH,qwerty,en,1-2,laptop,0.561797752808989,25.9921,0.019
978,23,0,PH,qwerty,en,5-6,laptop,0.982928091050181,41.0257,0.1857
981,25,1,IN,qwerty,en,9-10,full,0.324149108589951,35.404,0.0871
985,42,1,FI,qwerty,fi,9-10,full,0.582241630276565,97.4768,0.5288
990,25,0,PK,qwerty,ur,9-10,full,0.672268907563025,22.7546,0.0611
992,15,0,TH,qwerty,th,9-10,laptop,0.227445034116755,26.1681,0.0789
1002,31,0,PH,qwerty,en,9-10,laptop,0.3125,77.0218,0.4892
1005,30,0,IN,qwerty,en,1-2,laptop,2.56410256410256,26.3279,0.0455
1010,38,1,AU,qwerty,en,9-10,full,1.76767676767677,41.3325,0.2925
1011,35,1,US,qwerty,en,9-10,full,0.504201680672269,47.9213,0.1569
1015,23,0,AU,qwerty,en,9-10,full,0.294985250737463,42.7618,0.1085
1020,22,0,PH,qwerty,tl,5-6,full,0.283687943262411,40.7183,0.0025
1024,45,1,US,qwerty,en,9-10,laptop,0.32258064516129,60.9097,0.3058
1027,28,1,IN,qwerty,mr,3-4,full,1.75706646294882,39.8663,0.2582
1030,12,0,AU,qwerty,en,7-8,laptop,0.185528756957328,38.0148,0.4672
1047,32,0,US,qwerty,en,9-10,laptop,0.602409638554217,46.5003,0.2446
1048,26,0,IN,qwertz,hi,9-10,full,0.455235204855842,37.498,0.0591
1053,41,0,PH,qwerty,en,9-10,laptop,0.0809061488673139,60.1683,0.3477
1054,25,0,US,qwerty,en,3-4,full,0.69060773480663,34.4609,0.0632
1055,21,0,PK,qwerty,en,9-10,laptop,0.715307582260372,23.7471,0.1921
1057,23,0,US,qwerty,en,9-10,full,0.728597449908925,15.6828,0.0887
1058,28,0,US,qwerty,en,9-10,laptop,1.04529616724739,17.8907,0.0066
1059,14,0,GB,qwerty,en,3-4,laptop,0.467289719626168,54.1965,0.0307
1061,26,0,IN,qwerty,bn,1-2,laptop,0.794912559618442,41.9328,0.0612
1065,27,0,IN,qwerty,en,1-2,laptop,1.96969696969697,27.2247,0.0471
1067,21,0,MY,qwerty,ms,5-6,full,0.15527950310559,42.3342,0.3039
1072,16,0,PT,qwerty,pt,1-2,laptop,0.859106529209622,44.516,0.0916
1076,16,0,IN,qwerty,bn,3-4,laptop,3.41753343239227,11.1549,0.041
1077,26,0,PH,qwerty,tl,5-6,full,1.0752688172043,51.1414,0.3229
1081,19,0,GB,qwerty,en,3-4,laptop,0.854700854700855,39.8671,0.0936
1092,26,1,US,qwerty,en,9-10,laptop,0.229885057471264,38.4543,0.0355
